Time (Pacific/Honolulu),Conductivity unit,Temperature unit,af4s Conductivity,af4s pH,af4s Temperature
2019-04-29 11:54:00,EC,C,---,O/R,23
2019-04-29 11:55:00,EC,C,---,O/R,23
2019-04-29 11:56:00,EC,C,---,O/R,23
2019-04-29 11:57:00,EC,C,---,O/R,25
2019-04-29 11:58:00,EC,C,---,O/R,26
2019-04-29 11:59:00,EC,C,---,O/R,24
2019-04-29 12:00:00,EC,C,---,O/R,23
2019-04-29 12:01:00,EC,C,---,O/R,23
2019-04-29 12:02:00,EC,C,---,O/R,26
2019-04-29 12:03:00,EC,C,---,O/R,25
2019-04-29 12:04:00,EC,C,---,O/R,24
2019-04-29 12:05:00,EC,C,---,O/R,23
2019-04-29 12:06:00,EC,C,---,O/R,23
2019-04-29 12:07:00,EC,C,---,O/R,23
2019-04-29 12:08:00,EC,C,---,O/R,23
2019-04-29 12:09:00,EC,C,---,O/R,23
2019-04-29 12:10:00,EC,C,---,O/R,24
2019-04-29 12:11:00,EC,C,---,O/R,24
2019-04-29 12:12:00,EC,C,---,O/R,24
2019-04-29 12:13:00,EC,C,---,O/R,23
2019-04-29 12:14:00,EC,C,---,O/R,23
2019-04-29 12:15:00,EC,C,---,O/R,23
2019-04-29 12:16:00,EC,C,---,O/R,23
2019-04-29 12:17:00,EC,C,---,O/R,23
2019-04-29 12:18:00,EC,C,---,O/R,23
2019-04-29 12:19:00,EC,C,---,O/R,23
2019-04-29 12:20:00,EC,C,---,O/R,23
2019-04-29 12:21:00,EC,C,---,O/R,23
2019-04-29 12:22:00,EC,C,---,O/R,23
2019-04-29 12:23:00,EC,C,---,O/R,23
2019-04-29 12:24:00,EC,C,---,O/R,23
2019-04-29 12:25:00,EC,C,---,O/R,23
2019-04-29 12:26:00,EC,C,---,O/R,23
2019-04-29 12:27:00,EC,C,---,O/R,23
2019-04-29 12:28:00,EC,C,---,O/R,23
2019-04-29 12:29:00,EC,C,---,O/R,23
2019-04-29 12:30:00,EC,C,---,O/R,23
2019-04-29 12:31:00,EC,C,---,O/R,23
2019-04-29 12:32:00,EC,C,---,O/R,23
2019-04-29 12:33:00,EC,C,---,O/R,23
2019-04-29 12:34:00,EC,C,---,O/R,23
2019-04-29 12:35:00,EC,C,---,O/R,23
2019-04-29 12:36:00,EC,C,---,O/R,23
2019-04-29 12:37:00,EC,C,---,O/R,23
2019-04-29 12:38:00,EC,C,---,O/R,23
2019-04-29 12:39:00,EC,C,---,O/R,23
2019-04-29 12:40:00,EC,C,---,O/R,23
2019-04-29 12:41:00,EC,C,---,O/R,23
2019-04-29 12:42:00,EC,C,---,O/R,23
2019-04-29 12:43:00,EC,C,---,O/R,23
2019-04-29 12:44:00,EC,C,---,O/R,23
2019-04-29 12:45:00,EC,C,---,O/R,23
2019-04-29 12:46:00,EC,C,---,O/R,23
2019-04-29 12:47:00,EC,C,---,O/R,23
2019-04-29 12:48:00,EC,C,---,O/R,23
2019-04-29 12:49:00,EC,C,---,O/R,23
2019-04-29 12:50:00,EC,C,---,O/R,23
2019-04-29 12:51:00,EC,C,---,O/R,23
2019-04-29 12:52:00,EC,C,---,O/R,23
2019-04-29 12:53:00,EC,C,---,O/R,23
2019-04-29 12:54:00,EC,C,---,O/R,23
2019-04-29 12:55:00,EC,C,---,O/R,23
2019-04-29 12:56:00,EC,C,---,O/R,23
2019-04-29 12:57:00,EC,C,---,O/R,23
2019-04-29 12:58:00,EC,C,---,O/R,23
2019-04-29 12:59:00,EC,C,---,O/R,23
2019-04-29 13:00:00,EC,C,---,O/R,23
2019-04-29 13:01:00,EC,C,---,O/R,23
2019-04-29 13:02:00,EC,C,---,O/R,23
2019-04-29 13:03:00,EC,C,---,O/R,23
2019-04-29 13:04:00,EC,C,---,O/R,23
2019-04-29 13:05:00,EC,C,---,O/R,23
2019-04-29 13:06:00,EC,C,---,O/R,23
2019-04-29 13:07:00,EC,C,---,O/R,23
2019-04-29 13:08:00,EC,C,---,O/R,23
2019-04-29 13:09:00,EC,C,---,O/R,23
2019-04-29 13:10:00,EC,C,---,O/R,23
2019-04-29 13:11:00,EC,C,---,O/R,23
2019-04-29 13:12:00,EC,C,---,O/R,23
2019-04-29 13:13:00,EC,C,---,O/R,23
2019-04-29 13:14:00,EC,C,---,O/R,23
2019-04-29 13:15:00,EC,C,---,O/R,23
2019-04-29 13:16:00,EC,C,---,O/R,23
2019-04-29 13:17:00,EC,C,---,O/R,23
2019-04-29 13:18:00,EC,C,---,O/R,23
2019-04-29 13:19:00,EC,C,---,O/R,23
2019-04-29 13:20:00,EC,C,---,O/R,23
2019-04-29 13:21:00,EC,C,---,O/R,23
2019-04-29 13:22:00,EC,C,---,O/R,23
2019-04-29 13:23:00,EC,C,---,O/R,23
